sha256_ret,0000011
FUN_ucode_0005ee8,0005ee8
FUN_ucode_0005f29,0005f29
FUN_ucode_0005f32,0005f32
FUN_ucode_0005f7a,0005f7a
FUN_ucode_0005fee,0005fee
fit_load_end,000608a
FUN_ucode_00060aa,00060aa
FUN_ucode_00060b8,00060b8
FUN_ucode_00060be,00060be
FUN_ucode_00060f6,00060f6
FUN_ucode_000610a,000610a
FUN_ucode_000610d,000610d
FUN_ucode_000612e,000612e
FUN_ucode_0006132,0006132
FUN_ucode_0006136,0006136
gen_key_first_step,0006161
FUN_ucode_0006486,0006486
ucode_fit_xlat_found,00064ea
FUN_ucode_00065b8,00065b8
FUN_ucode_00065b9,00065b9
FUN_ucode_0006662,0006662
FUN_ucode_000669d,000669d
FUN_ucode_000677d,000677d
FUN_ucode_00068ed,00068ed
FUN_ucode_0006916,0006916
FUN_ucode_000694e,000694e
FUN_ucode_0006960,0006960
compute_ucode_sha_end,00069b0
FUN_ucode_0006a3a,0006a3a
FUN_ucode_0006a4c,0006a4c
FUN_ucode_0006ba1,0006ba1
FUN_ucode_0006bfc,0006bfc
FUN_ucode_0006bfd,0006bfd
FUN_ucode_0006c58,0006c58
FUN_ucode_0006c66,0006c66
FUN_ucode_0006c69,0006c69
FUN_ucode_0006c86,0006c86
FUN_ucode_0006d84,0006d84
FUN_ucode_0006da9,0006da9
fit_load_start,0006e16
process_next_fit_xlat,0006e42
non_ucode_fit_xlat_found,0006e4c
FUN_ucode_0006ec4,0006ec4
FUN_ucode_0006efe,0006efe
process_plain_patch,0006f3d
check_cpumodel_matches,0006f69
FUN_ucode_0007260,0007260
FUN_ucode_0007262,0007262
rsa_decrypt_modular_multiplication,000735c
FUN_ucode_0007585,0007585
enclu_impl,00075c6
FUN_ucode_0007615,0007615
FUN_ucode_0007661,0007661
FUN_ucode_00076d8,00076d8
FUN_ucode_00076e2,00076e2
FUN_ucode_0007c61,0007c61
FUN_ucode_0007c75,0007c75
